"release_date","Artist","Popularity"
2007-10-25,"Black Eyed Peas",0
2007-10-25,"Britney Spears",81
2007-10-25,"Coldplay",0
2007-10-25,"Don Omar",0
2007-10-25,"Eminem",0
2007-10-25,"Kanye West",0
2007-10-25,"Nickelback",0
2007-10-25,"Rihanna",0
2007-10-25,"Seether",0
2007-10-25,"Shakira",0
2008-12-02,"Black Eyed Peas",0
2008-12-02,"Britney Spears",76.5
2008-12-02,"Coldplay",0
2008-12-02,"Don Omar",0
2008-12-02,"Eminem",0
2008-12-02,"Kanye West",0
2008-12-02,"Nickelback",0
2008-12-02,"Rihanna",0
2008-12-02,"Seether",0
2008-12-02,"Shakira",0
2003-07-15,"Black Eyed Peas",0
2003-07-15,"Britney Spears",0
2003-07-15,"Coldplay",0
2003-07-15,"Don Omar",0
2003-07-15,"Eminem",0
2003-07-15,"Kanye West",0
2003-07-15,"Nickelback",0
2003-07-15,"Rihanna",0
2003-07-15,"Seether",0
2003-07-15,"Shakira",0
2009-09-08,"Black Eyed Peas",0
2009-09-08,"Britney Spears",0
2009-09-08,"Coldplay",0
2009-09-08,"Don Omar",0
2009-09-08,"Eminem",0
2009-09-08,"Kanye West",0
2009-09-08,"Nickelback",0
2009-09-08,"Rihanna",0
2009-09-08,"Seether",0
2009-09-08,"Shakira",0
2010-10-05,"Black Eyed Peas",0
2010-10-05,"Britney Spears",0
2010-10-05,"Coldplay",0
2010-10-05,"Don Omar",0
2010-10-05,"Eminem",0
2010-10-05,"Kanye West",0
2010-10-05,"Nickelback",0
2010-10-05,"Rihanna",0
2010-10-05,"Seether",0
2010-10-05,"Shakira",0
2009-03-24,"Black Eyed Peas",0
2009-03-24,"Britney Spears",0
2009-03-24,"Coldplay",0
2009-03-24,"Don Omar",0
2009-03-24,"Eminem",0
2009-03-24,"Kanye West",0
2009-03-24,"Nickelback",0
2009-03-24,"Rihanna",0
2009-03-24,"Seether",0
2009-03-24,"Shakira",0
2005-11-14,"Black Eyed Peas",0
2005-11-14,"Britney Spears",0
2005-11-14,"Coldplay",0
2005-11-14,"Don Omar",0
2005-11-14,"Eminem",0
2005-11-14,"Kanye West",0
2005-11-14,"Nickelback",0
2005-11-14,"Rihanna",0
2005-11-14,"Seether",0
2005-11-14,"Shakira",0
2006-08-07,"Black Eyed Peas",0
2006-08-07,"Britney Spears",0
2006-08-07,"Coldplay",0
2006-08-07,"Don Omar",0
2006-08-07,"Eminem",0
2006-08-07,"Kanye West",0
2006-08-07,"Nickelback",0
2006-08-07,"Rihanna",0
2006-08-07,"Seether",0
2006-08-07,"Shakira",0
2004-03-02,"Black Eyed Peas",0
2004-03-02,"Britney Spears",0
2004-03-02,"Coldplay",0
2004-03-02,"Don Omar",0
2004-03-02,"Eminem",0
2004-03-02,"Kanye West",0
2004-03-02,"Nickelback",0
2004-03-02,"Rihanna",0
2004-03-02,"Seether",0
2004-03-02,"Shakira",0
2008-04-29,"Black Eyed Peas",0
2008-04-29,"Britney Spears",0
2008-04-29,"Coldplay",0
2008-04-29,"Don Omar",0
2008-04-29,"Eminem",0
2008-04-29,"Kanye West",0
2008-04-29,"Nickelback",0
2008-04-29,"Rihanna",0
2008-04-29,"Seether",0
2008-04-29,"Shakira",0
2004-09-27,"Black Eyed Peas",0
2004-09-27,"Britney Spears",0
2004-09-27,"Coldplay",0
2004-09-27,"Don Omar",0
2004-09-27,"Eminem",0
2004-09-27,"Kanye West",0
2004-09-27,"Nickelback",0
2004-09-27,"Rihanna",0
2004-09-27,"Seether",0
2004-09-27,"Shakira",0
2007-01-01,"Black Eyed Peas",0
2007-01-01,"Britney Spears",0
2007-01-01,"Coldplay",0
2007-01-01,"Don Omar",0
2007-01-01,"Eminem",0
2007-01-01,"Kanye West",0
2007-01-01,"Nickelback",0
2007-01-01,"Rihanna",71.5
2007-01-01,"Seether",76
2007-01-01,"Shakira",0
2000-07-10,"Black Eyed Peas",0
2000-07-10,"Britney Spears",0
2000-07-10,"Coldplay",88
2000-07-10,"Don Omar",0
2000-07-10,"Eminem",0
2000-07-10,"Kanye West",0
2000-07-10,"Nickelback",0
2000-07-10,"Rihanna",0
2000-07-10,"Seether",0
2000-07-10,"Shakira",0
2002-08-08,"Black Eyed Peas",0
2002-08-08,"Britney Spears",0
2002-08-08,"Coldplay",84
2002-08-08,"Don Omar",0
2002-08-08,"Eminem",0
2002-08-08,"Kanye West",0
2002-08-08,"Nickelback",0
2002-08-08,"Rihanna",0
2002-08-08,"Seether",0
2002-08-08,"Shakira",0
2005-06-07,"Black Eyed Peas",0
2005-06-07,"Britney Spears",0
2005-06-07,"Coldplay",84
2005-06-07,"Don Omar",0
